Flora,ID,x,y,note
araucarites,1,6,45,
salix,1,24,77,Earliest known 10mya
sabalites,1,32,22,
magnolia,1,110,114,Evolved after Cretaceous
dryopyllum,1,127,61,
cornus,1,149,63,Evolved after Cretaceous
araliopsoides,1,219,110,Middle & High latitudes
pandanus,1,254,34,
palmetto,1,272,141,
palmetto,2,157,141,
gingko,1,182,24,
palm tree,1,305,34,
neocalamites,1,334,137,
neocalamites,2,479,127,
williamsonia,1,436,36,
williamsonia,2,489,43,
matondonium,1,549,49,
cycadeoidea,1,526,84,
cycadeoidea,2,557,137,
araucarites,2,612,6,
araucarites,3,661,34,
williamsonia,3,711,34,
cycadeoidea,3,700,147,
wielandiella,1,737,139,
bjuvia,1,733,88,
bjuvia,2,815,90,
macrotaeniopteris,1,780,161,
araucarioxylon,1,834,26,
araucarioxylon,2,901,81,
lepidodendron,1,877,43,
lepidodendron,2,983,131,
cordaites,1,1010,40,
sigillaria,1,1079,20,
sigillaria,2,1112,65,
lepidodendron,3,1090,94,
lepidodendron,4,1149,16,
calamites,1,1174,125,
psaronius,1,1190,61,
psaronius,2,1227,28,
calamites,1,1239,104,
lepidodendron,5,1184,14,
